nom,prix
Pâtes penne blé complet CARREFOUR EXTRA,N/A
Pâtes coquillettes blé complet CARREFOUR EXTRA,N/A
Pâtes Coquilettes au Blé Complet Bio CARREFOUR BIO,N/A
Pâtes fusilli blé complet bio CARREFOUR BIO,N/A
Pâtes farfalle blé complet ALNATURA,N/A
Spaghetti ALPINA,N/A
Pâtes Tagliatelle blé noir IGP Bretagne MAISON HERMINE,N/A
Pâtes spaghetti CARREFOUR,N/A
Pâtes capellini CARREFOUR,N/A
Pâtes linguine CARREFOUR,N/A
Pâtes tagliatelles CARREFOUR,N/A
pâtes alimentaires spaghetti CARREFOUR CLASSIC',N/A
Pâtes spaghetti cuisson rapide CARREFOUR CLASSIC',N/A
Pâtes spaghetti n°11 moule en bronze CARREFOUR ORIGINAL,N/A
Pâtes spaghetti blé complet CARREFOUR EXTRA,N/A
Pâtes d'Alsace Nids à l'Ancienne IGP REFLETS DE FRANCE,N/A
Pâtes spätzle REFLETS DE FRANCE,N/A
Pâtes papillons reflets de france REFLETS DE FRANCE,N/A
Pâtes spaghetti bio CARREFOUR BIO,N/A
Pâtes spaghetti semi-complets bio CARREFOUR BIO,N/A
Pâtes Tagliatelle Bio CARREFOUR BIO,N/A
Pâtes spaghetti sans gluten CARREFOUR NO GLUTEN !,N/A
Pâtes spaghetti SIMPL,N/A
Pâtes spaghetti n°5 BARILLA,N/A
Pâtes capellini n°1 BARILLA,N/A
Pâtes spaghettoni n°7 BARILLA,N/A
Pâtes mafaldine collezione BARILLA,N/A
Pâtes capellini n°1 BARILLA,N/A
Pâtes spaghettini n°3 BARILLA,N/A
Pâtes spaghetti n°5 BARILLA,N/A
